159,,Cashore Kristine,Graceling,Avventura e fantasy,Fantasy
243,,Ende Michael,Momo,Avventura e fantasy,Fantasy
244,,Ende Michael,La storia infinita,Avventura e fantasy,Fantasy
246,,Ende Michael,I mangiasogni,Avventura e fantasy,Narrativa
269,,Funke Cornelia,Il re dei ladri,Avventura e fantasy,Avventura
266,,Freeman Martha,La mia mamma è una bomba,Collana il Battello a Vapore,Narrativa
172,,Chidolue Dagman,Un amore per Kathi,Collana il Battello a Vapore,Narrativa
179,,Collinson Roger,Willie acchiappafantasmi e gli extraterrestri,Collana il Battello a Vapore,Narrativa
561,,Shusterman Neal,Il ragazzo che diventò quasi il padrone del mondo,Collana il Battello a Vapore,Narrativa
76,,Armijo Consuelo,I Batauti,Collana il Battello a Vapore,Narrativa
668,,Welsh Renate,Laura davanti allo specchio,Collana il Battello a Vapore,Narrativa
670,,West Colin,La giungla della nonna,Collana il Battello a Vapore,Narrativa
505,,Reiss Johanna,La stanza segreta,Collana il Battello a Vapore,Narrativa
265,,Fournel Paul,Supergatto,Collana il Battello a Vapore,Narrativa
378,,Marsotto Aurora,Da grande farò la ballerina,Collana il Battello a Vapore,Narrativa
339,,Klages Simone,Il mio amico Emil,Collana il Battello a Vapore,Narrativa
346,,Lembcke Marjaleena,L'estate in cui tutti si innamorarono,Collana il Battello a Vapore,Narrativa
247,,Erickson Russell E.,Il detective Warton,Collana il Battello a Vapore,Narrativa
197,,Cross R.,Papà la tua ragazza è una strega,Collana ragazzine,Rosa
342,,Lamb Kathryn,Mia sorella si sposa…,Collana ragazzine,Rosa
600,,Stevenson Robert Louis,L'isola del tesoro,Fumetti,Fumetti
507,,Rigoni Stern Mario,Il sergente nella neve - Ritorno sul Don,Grandi Autori,Narrativa
616,,Testa Fulvio,Martino pescatore,Per chi comincia a leggere,Narrativa
631,,Traini Agostino,"Mucca Moka, sei grande!",Per chi comincia a leggere,Narrativa
2,,A.A.V.V.,Il soldatino di piombo,Per chi comincia a leggere,Narrativa
503,,Reider Katja - Von Roehl Angela,Una sirena nella vasca da bagno,Per chi comincia a leggere,Narrativa
5,,A.A.V.V.,Aladino,Per chi comincia a leggere,Narrativa
638,,Ungerer Tomi,Crictor,Per chi comincia a leggere,Narrativa
