Abomasnow,ErbaGhiaccio
Abra,Psico
Absol,Buio
Accelgor,Coleottero
Aegislash,AcciaioSpettro
Aerodactyl,RocciaVolante
Aggron,AcciaioRoccia
Aipom,Normale
Alakazam,Psico
Alcremie,Folletto
Alirasenti,ColeotteroLotta
Alomomola,Acqua
Altaria,DragoVolante
Amaura,RocciaGhiaccio
Ambipom,Normale
Amoonguss,ErbaVeleno
Ampharos,Elettro
Annihilape,LottaSpettro
Anorith,RocciaColeottero
Appletun,ErbaDrago
Applin,ErbaDrago
Araquanid,AcquaColeottero
Arbok,Veleno
Arboliva,ErbaNormale
Arcanine,Fuoco
Arceus,Normale
Archen,RocciaVolante
Archeops,RocciaVolante
Arctibax,DragoGhiaccio
Arctovish,AcquaGhiaccio
Arctozolt,ElettroGhiaccio
Ariados,ColeotteroVeleno
Armaldo,RocciaColeottero
Armarouge,FuocoPsico
Aromatisse,Folletto
Aron,AcciaioRoccia
Arrokuda,Acqua
Articuno,GhiaccioVolante
Audino,Normale
Aurorus,RocciaGhiaccio
Avalugg,Ghiaccio
Axew,Drago
Azelf,Psico
Azumarill,AcquaFolletto
Azurill,NormaleFolletto
Bagon,Drago
Baltoy,TerraPsico
Banette,Spettro
Barbaracle,AcquaRoccia
Barboach,AcquaTerra
Barraskewda,Acqua
Basculegion,AcquaSpettro
Basculin,Acqua
Bastiodon,RocciaAcciaio
Baxcalibur,DragoGhiaccio
Bayleef,Erba
Beartic,Ghiaccio
Beautifly,ColeotteroVolante
Beedrill,ColeotteroVeleno
Beheeyem,Psico
Beldum,AcciaioPsico
Bellibolt,Elettro
Bellossom,Erba
Bellsprout,ErbaVeleno
Bergmite,Ghiaccio
Bewear,NormaleLotta
Bibarel,NormaleAcqua
Bidoof,Normale
Binacle,AcquaRoccia
Bisharp,BuioAcciaio
Blacephalon,FuocoSpettro
Blastoise,Acqua
Blaziken,FuocoLotta
Blipbug,Coleottero
Blissey,Normale
Blitzle,Elettro
Boldore,Roccia
Boltund,Elettro
Bombirdier,VolanteBuio
Bonsly,Roccia
Bouffalant,Normale
Bounsweet,Erba
Braixen,Fuoco
Brambleghast,ErbaSpettro
Bramblin,ErbaSpettro
Braviary,NormaleVolante
Breloom,ErbaLotta
Brionne,Acqua
Bronzong,AcciaioPsico
Bronzor,AcciaioPsico
Bruxish,AcquaPsico
Budew,ErbaVeleno
Buizel,Acqua
Bulbasaur,ErbaVeleno
Buneary,Normale
Bunnelby,Normale
Burmy,Coleottero
Butterfree,ColeotteroVolante
Buzzwole,ColeotteroLotta
Cacnea,Erba
Cacturne,ErbaBuio
Calyrex,PsicoErba
Camerupt,FuocoTerra
Capsakid,Erba
Carbink,RocciaFolletto
Carkol,RocciaFuoco
Carnivine,Erba
Carracosta,AcquaRoccia
Carvanha,AcquaBuio
Cascoon,Coleottero
Castform,Normale
Caterpie,Coleottero
Celebi,PsicoErba
Celesteela,AcciaioVolante
Centiskorch,FuocoColeottero
Ceruledge,FuocoSpettro
Cetitan,Ghiaccio
Cetoddle,Ghiaccio
Chandelure,SpettroFuoco
Chansey,Normale
Charcadet,Fuoco
Charizard,FuocoVolante
Charjabug,ColeotteroElettro
Charmander,Fuoco
Charmeleon,Fuoco
Chatot,NormaleVolante
Cherrim,Erba
Cherubi,Erba
Chesnaught,ErbaLotta
Chespin,Erba
Chewtle,Acqua
Chien-Pao,BuioGhiaccio
Chikorita,Erba
Chimchar,Fuoco
Chimecho,Psico
Chinchou,AcquaElettro
Chingling,Psico
Chi-Yu,BuioFuoco
Cinccino,Normale
Cinderace,Fuoco
Clamperl,Acqua
Clauncher,Acqua
Clawitzer,Acqua
Claydol,TerraPsico
Clefable,Folletto
Clefairy,Folletto
Cleffa,Folletto
Clobbopus,Lotta
Clodsire,VelenoTerra
Cloyster,AcquaGhiaccio
Coalossal,RocciaFuoco
Cobalion,AcciaioLotta
Codaurlante,FollettoPsico
Cofagrigus,Spettro
Colloferreo,BuioVolante
Combee,ColeotteroVolante
Combusken,FuocoLotta
Comfey,Folletto
Conkeldurr,Lotta
Copperajah,Acciaio
Corphish,Acqua
Corsola,AcquaRoccia
Corviknight,AcciaioVolante
Corvisquire,Volante
Cosmog,Psico
Cosmoem,Psico
Cottonee,ErbaFolletto
Crabrawler,LottaVeleno
Crabominable,LottaGhiaccio
Cradily,RocciaErba
Cramorant,VolanteAcqua
Cranidos,Roccia
Crawdaunt,AcquaBuio
Cresselia,Psico
Crinealato,SpettroFolletto
Croagunk,VelenoLotta
Crobat,VelenoVolante
Crocalor,Fuoco
Croconaw,Acqua
Crustle,ColeotteroRoccia
Cryogonal,Ghiaccio
Cubchoo,Ghiaccio
Cubone,Terra
Cufant,Acciaio
Cursola,Spettro
Cutiefly,Coleottero
Cyclizar,DragoNormale
Cyndaquil,Fuoco
Dachsbun,Folletto
Darkrai,Buio
Darmanitan,Fuoco
Dartrix,ErbaVolante
Darumaka,Fuoco
Decidueye,ErbaSpettro
Dedenne,ElettroFolletto
Deerling,NormaleErba
Deino,BuioDrago
Delcatty,Normale
Delibird,GhiaccioVolante
Delphox,FuocoPsico
Deoxys,Psico
Dewgong,AcquaGhiaccio
Dewott,Acqua
Dewpider,AcquaColeottero
Dhelmise,ErbaSpettro
Dialga,AcciaioDrago
Diancie,RocciaFolletto
Diggersby,NormaleTerra
Diglett,Terra
Ditto,Normale
Dodrio,NormaleVolante
Doduo,NormaleVolante
Dolliv,ErbaNormale
Dondozo,Acqua
Donphan,Terra
Dottler,ColeotteroPsico
Doublade,AcciaioSpettro
Dracovish,AcquaDrago
Dracozolt,ElettroDrago
Dragalge,VelenoDrago
Dragapult,DragoSpettro
Dragonair,Drago
Dragonite,DragoVolante
Drakloak,DragoSpettro
Drampa,NormaleDrago
Drapion,VelenoBuio
Dratini,Drago
